================================================================================
BATCH PAYROLL DETAILS REPORT - RUN ID: PAY20260529A
================================================================================
ID     NAME                       DEPARTMENT  GROSS PAY  TAX DED.   PF DED.    NET PAY
--------------------------------------------------------------------------------
E0001  Patricia Smith             FINANCE     $ 6416.26   $ 802.03   $ 513.30  $ 5100.92
E0002  Nancy Brown                FINANCE     $ 6672.02   $1467.84   $ 533.76  $ 4670.42
E0003  Susan Johnson              FINANCE     $ 2838.59   $ 354.82   $ 227.09  $ 2256.68
E0004  Karen Smith                FINANCE     $ 6867.61   $1716.90   $ 549.41  $ 4601.30
E0005  Susan Davis                FINANCE     $ 5357.60   $ 803.64   $ 428.61  $ 4125.35
E0006  Matthew Garcia             FINANCE     $ 6232.78   $ 934.92   $ 498.62  $ 4799.24
E0007  Michael Hernandez          FINANCE     $ 2909.84   $ 581.97   $ 232.79  $ 2095.08
E0008  Sandra Lopez               FINANCE     $ 7044.19   $ 704.42   $ 563.54  $ 5776.24
E0009  Sarah Brown                FINANCE     $ 8480.83   $1696.17   $ 678.47  $ 6106.20
E0010  Linda Martin               FINANCE     $ 7945.88   $1191.88   $ 635.67  $ 6118.33
E0011  Daniel Williams            FINANCE     $ 3090.29   $ 386.29   $ 247.22  $ 2456.78
E0012  John Davis                 FINANCE     $ 7873.88   $1574.78   $ 629.91  $ 5669.19
E0013  Christopher Lopez          FINANCE     $ 3337.67   $ 500.65   $ 267.01  $ 2570.01
E0014  Daniel Williams            FINANCE     $ 6207.25   $ 775.91   $ 496.58  $ 4934.76
E0015  Jennifer Anderson          FINANCE     $ 5672.37   $1418.09   $ 453.79  $ 3800.49
E0016  Elizabeth Hernandez        FINANCE     $ 6633.94   $ 663.39   $ 530.72  $ 5439.83
E0017  Betty Hernandez            FINANCE     $ 5157.92   $ 515.79   $ 412.63  $ 4229.49
E0018  Mark Hernandez             FINANCE     $ 3990.29   $ 798.06   $ 319.22  $ 2873.01
E0019  Robert Rodriguez           FINANCE     $ 3821.38   $ 955.34   $ 305.71  $ 2560.32
E0020  William Jackson            FINANCE     $ 5128.22   $1128.21   $ 410.26  $ 3589.75
E0021  Elizabeth Jones            FINANCE     $ 5683.46   $ 568.35   $ 454.68  $ 4660.44
E0022  Sandra Brown               FINANCE     $ 3989.79   $ 498.72   $ 319.18  $ 3171.89
E0023  Karen Williams             FINANCE     $ 5382.35   $1184.12   $ 430.59  $ 3767.65
E0024  William Moore              FINANCE     $ 7642.91   $ 764.29   $ 611.43  $ 6267.18
E0025  Lisa Moore                 FINANCE     $ 6328.62   $1582.16   $ 506.29  $ 4240.18
E0026  Linda Wilson               FINANCE     $ 3811.48   $ 381.15   $ 304.92  $ 3125.41
E0027  Thomas Garcia              FINANCE     $ 5987.26   $ 598.73   $ 478.98  $ 4909.55
E0028  Anthony Taylor             FINANCE     $ 5891.58   $ 736.45   $ 471.33  $ 4683.81
E0029  Sarah Taylor               FINANCE     $ 8329.58   $1832.51   $ 666.37  $ 5830.70
E0030  James Brown                FINANCE     $ 7088.21   $1063.23   $ 567.06  $ 5457.92
E0031  Elizabeth Jackson          FINANCE     $ 9413.60   $ 941.36   $ 753.09  $ 7719.16
E0032  Anthony Williams           FINANCE     $ 8938.45   $1966.46   $ 715.08  $ 6256.91
E0033  Robert Thomas              FINANCE     $ 8738.89   $1092.36   $ 699.11  $ 6947.42
E0034  Sandra Martin              FINANCE     $ 5081.77   $ 635.22   $ 406.54  $ 4040.01
E0035  Daniel Martinez            FINANCE     $ 5283.24   $1320.81   $ 422.66  $ 3539.77
